seed,group,mean_w_text_mask_on_real_features,mean_w_text_mask_off_real_features,shift_from_mask_channel_alone
42,non-collapsed,0.8601714968681335,0.8510791063308716,-0.009092390537261963
123,non-collapsed,0.9993248581886292,0.9992569088935852,-6.794929504394531e-05
2024,non-collapsed,0.9285662770271301,0.9235762357711792,-0.004990041255950928
7,collapsed,0.7232125997543335,0.7135844230651855,-0.00962817668914795
99,collapsed,0.8877745866775513,0.880686342716217,-0.0070882439613342285
