model,seed,missingness_rate,accuracy,f1,n_test,best_val_f1
early_fusion,42,0.0,0.7725947521865889,0.7417218543046358,686,0.8188976377952756
early_fusion,42,0.25,0.7332361516034985,0.6514285714285715,686,0.8188976377952756
early_fusion,42,0.5,0.7011661807580175,0.5514223194748359,686,0.8188976377952756
early_fusion,42,0.75,0.6486880466472303,0.389873417721519,686,0.8188976377952756
early_fusion,123,0.0,0.7857142857142857,0.738898756660746,686,0.823045267489712
early_fusion,123,0.25,0.6924198250728864,0.6738794435857806,686,0.823045267489712
early_fusion,123,0.5,0.6297376093294461,0.6567567567567567,686,0.823045267489712
early_fusion,123,0.75,0.5874635568513119,0.6431273644388399,686,0.823045267489712
early_fusion,2024,0.0,0.7798833819241983,0.7249544626593807,686,0.8273092369477911
early_fusion,2024,0.25,0.7346938775510204,0.6224066390041494,686,0.8273092369477911
early_fusion,2024,0.5,0.6865889212827988,0.48687350835322196,686,0.8273092369477911
early_fusion,2024,0.75,0.6676384839650146,0.3870967741935484,686,0.8273092369477911
late_fusion,42,0.0,0.7682215743440233,0.7291311754684838,686,0.8333333333333334
late_fusion,42,0.25,0.6924198250728864,0.6855439642324889,686,0.8333333333333334
late_fusion,42,0.5,0.6005830903790087,0.6346666666666667,686,0.8333333333333334
late_fusion,42,0.75,0.5524781341107872,0.6214549938347719,686,0.8333333333333334
late_fusion,123,0.0,0.7842565597667639,0.7385159010600707,686,0.8259109311740891
late_fusion,123,0.25,0.717201166180758,0.5991735537190083,686,0.8259109311740891
late_fusion,123,0.5,0.6880466472303207,0.5180180180180181,686,0.8259109311740891
late_fusion,123,0.75,0.6720116618075802,0.4094488188976378,686,0.8259109311740891
late_fusion,2024,0.0,0.7857142857142857,0.7407407407407407,686,0.825
late_fusion,2024,0.25,0.7303206997084548,0.6247464503042597,686,0.825
late_fusion,2024,0.5,0.6807580174927114,0.48951048951048953,686,0.825
late_fusion,2024,0.75,0.6705539358600583,0.4052631578947368,686,0.825
fixed_weight_fusion,42,0.0,0.7405247813411079,0.7100977198697068,686,0.8226415094339623
fixed_weight_fusion,42,0.25,0.7099125364431487,0.6280373831775701,686,0.8226415094339623
fixed_weight_fusion,42,0.5,0.6895043731778425,0.5438972162740899,686,0.8226415094339623
fixed_weight_fusion,42,0.75,0.6399416909620991,0.3778337531486146,686,0.8226415094339623
fixed_weight_fusion,123,0.0,0.7682215743440233,0.7272727272727273,686,0.8235294117647058
fixed_weight_fusion,123,0.25,0.6822157434402333,0.6706948640483383,686,0.8235294117647058
fixed_weight_fusion,123,0.5,0.6122448979591837,0.6481481481481481,686,0.8235294117647058
fixed_weight_fusion,123,0.75,0.5728862973760933,0.6323713927227101,686,0.8235294117647058
fixed_weight_fusion,2024,0.0,0.6967930029154519,0.7011494252873564,686,0.8201438848920863
fixed_weight_fusion,2024,0.25,0.6603498542274052,0.6070826306913997,686,0.8201438848920863
fixed_weight_fusion,2024,0.5,0.6166180758017493,0.4873294346978557,686,0.8201438848920863
fixed_weight_fusion,2024,0.75,0.641399416909621,0.4252336448598131,686,0.8201438848920863
dropout_only_fusion,42,0.0,0.7842565597667639,0.7385159010600707,686,0.8273092369477911
dropout_only_fusion,42,0.25,0.7055393586005831,0.6901840490797546,686,0.8273092369477911
dropout_only_fusion,42,0.5,0.6180758017492711,0.6430517711171662,686,0.8273092369477911
dropout_only_fusion,42,0.75,0.5626822157434402,0.6259351620947631,686,0.8273092369477911
dropout_only_fusion,123,0.0,0.7551020408163265,0.7227722772277227,686,0.8188976377952756
dropout_only_fusion,123,0.25,0.6676384839650146,0.6666666666666666,686,0.8188976377952756
dropout_only_fusion,123,0.5,0.597667638483965,0.6415584415584416,686,0.8188976377952756
dropout_only_fusion,123,0.75,0.565597667638484,0.6365853658536585,686,0.8188976377952756
dropout_only_fusion,2024,0.0,0.7638483965014577,0.7326732673267327,686,0.833976833976834
dropout_only_fusion,2024,0.25,0.6880466472303207,0.6880466472303207,686,0.833976833976834
dropout_only_fusion,2024,0.5,0.6137026239067055,0.6490066225165563,686,0.833976833976834
dropout_only_fusion,2024,0.75,0.5451895043731778,0.625,686,0.833976833976834
gating_only_no_dropout,42,0.0,0.760932944606414,0.7220338983050848,686,0.8253968253968254
gating_only_no_dropout,42,0.25,0.7230320699708455,0.6317829457364341,686,0.8253968253968254
gating_only_no_dropout,42,0.5,0.6997084548104956,0.5442477876106194,686,0.8253968253968254
gating_only_no_dropout,42,0.75,0.6428571428571429,0.36363636363636365,686,0.8253968253968254
gating_only_no_dropout,123,0.0,0.7638483965014577,0.73,686,0.8171206225680934
gating_only_no_dropout,123,0.25,0.7055393586005831,0.6070038910505836,686,0.8171206225680934
gating_only_no_dropout,123,0.5,0.6763848396501457,0.5194805194805194,686,0.8171206225680934
gating_only_no_dropout,123,0.75,0.6632653061224489,0.4092071611253197,686,0.8171206225680934
gating_only_no_dropout,2024,0.0,0.7521865889212828,0.7266881028938906,686,0.8195488721804511
gating_only_no_dropout,2024,0.25,0.7099125364431487,0.6280373831775701,686,0.8195488721804511
gating_only_no_dropout,2024,0.5,0.6632653061224489,0.5010799136069114,686,0.8195488721804511
gating_only_no_dropout,2024,0.75,0.6530612244897959,0.4166666666666667,686,0.8195488721804511
imputation_baseline_post2023,42,0.0,0.7842565597667639,0.7366548042704626,686,0.831275720164609
imputation_baseline_post2023,42,0.25,0.7419825072886297,0.6424242424242425,686,0.831275720164609
imputation_baseline_post2023,42,0.5,0.717201166180758,0.5590909090909091,686,0.831275720164609
imputation_baseline_post2023,42,0.75,0.6545189504373178,0.3713527851458886,686,0.831275720164609
imputation_baseline_post2023,123,0.0,0.7740524781341108,0.7350427350427351,686,0.824
imputation_baseline_post2023,123,0.25,0.6909620991253644,0.6634920634920635,686,0.824
imputation_baseline_post2023,123,0.5,0.6384839650145773,0.6112852664576802,686,0.824
imputation_baseline_post2023,123,0.75,0.6326530612244898,0.5855263157894737,686,0.824
imputation_baseline_post2023,2024,0.0,0.7725947521865889,0.7253521126760564,686,0.8178137651821862
imputation_baseline_post2023,2024,0.25,0.7244897959183674,0.6181818181818182,686,0.8178137651821862
imputation_baseline_post2023,2024,0.5,0.6822157434402333,0.49537037037037035,686,0.8178137651821862
imputation_baseline_post2023,2024,0.75,0.6705539358600583,0.4052631578947368,686,0.8178137651821862
attention_gated_fusion_full,42,0.0,0.760932944606414,0.7210884353741497,686,0.8203125
attention_gated_fusion_full,42,0.25,0.6895043731778425,0.6816143497757847,686,0.8203125
attention_gated_fusion_full,42,0.5,0.5962099125364432,0.6311584553928096,686,0.8203125
attention_gated_fusion_full,42,0.75,0.5597667638483965,0.6271604938271605,686,0.8203125
attention_gated_fusion_full,123,0.0,0.7696793002915452,0.7392739273927392,686,0.8225806451612904
attention_gated_fusion_full,123,0.25,0.6763848396501457,0.6782608695652174,686,0.8225806451612904
attention_gated_fusion_full,123,0.5,0.6064139941690962,0.6493506493506493,686,0.8225806451612904
attention_gated_fusion_full,123,0.75,0.565597667638484,0.6339066339066339,686,0.8225806451612904
attention_gated_fusion_full,2024,0.0,0.7623906705539358,0.7287853577371048,686,0.8235294117647058
attention_gated_fusion_full,2024,0.25,0.6924198250728864,0.6892488954344624,686,0.8235294117647058
attention_gated_fusion_full,2024,0.5,0.6151603498542274,0.648,686,0.8235294117647058
