seed,group,feat_block_norm,mask_block_norm,text_mask_col_norm,audio_mask_col_norm,vision_mask_col_norm
42,non-collapsed(~0.596),5.024900913238525,0.4311346709728241,0.2536015808582306,0.23762181401252747,0.25514522194862366
123,non-collapsed(~0.596),5.314178466796875,0.5067083239555359,0.2866916358470917,0.2896626889705658,0.3010924756526947
2024,non-collapsed(~0.596),5.372432708740234,0.5288467407226562,0.2908713221549988,0.29641208052635193,0.327433317899704
7,collapsed(text-missing~0.40),4.94741153717041,0.478182852268219,0.27505019307136536,0.26991185545921326,0.2831144332885742
99,collapsed(text-missing~0.40),5.232877254486084,0.496401846408844,0.294914573431015,0.27023398876190186,0.2939622104167938
