seed,group,mean_w_text_real_text_input,mean_w_text_zeroed_text_input_mask_still_1,shift_from_encoder_zeroing_alone
42,non-collapsed,0.8601714968681335,0.6148062348365784,-0.24536526203155518
123,non-collapsed,0.9993248581886292,0.9969688057899475,-0.0023560523986816406
2024,non-collapsed,0.9285662770271301,0.7075860500335693,-0.2209802269935608
7,collapsed,0.7232125997543335,0.546522855758667,-0.1766897439956665
99,collapsed,0.8877745866775513,0.6179194450378418,-0.2698551416397095
