seed,ablation,n_train_used,achieved_majority_rate,text_missing_accuracy,text_missing_f1,collapsed
42,trainsize,1284,0.5148,,0.0406,True
123,trainsize,1284,0.5055,,0.0546,False
2024,trainsize,1284,0.5125,,0.1662,False
7,trainsize,1284,0.5039,,0.6434,False
99,trainsize,1284,0.5008,,0.0676,False
