model,seed,missing_modality,accuracy,f1,n
gating_only_no_dropout,7,audio,0.760932944606414,0.7172413793103448,686
gating_only_no_dropout,7,vision,0.760932944606414,0.7172413793103448,686
gating_only_no_dropout,99,none,0.749271137026239,0.7304075235109718,686
gating_only_no_dropout,99,text,0.4037900874635568,0.5752855659397715,686
gating_only_no_dropout,99,audio,0.749271137026239,0.7304075235109718,686
gating_only_no_dropout,99,vision,0.749271137026239,0.7304075235109718,686
hard_mask_gated_fusion,123,none,0.7871720116618076,0.7355072463768116,686
hard_mask_gated_fusion,123,text,0.4037900874635568,0.5752855659397715,686
hard_mask_gated_fusion,123,audio,0.7871720116618076,0.7355072463768116,686
hard_mask_gated_fusion,123,vision,0.7871720116618076,0.7355072463768116,686
hard_mask_gated_fusion,2024,none,0.7842565597667639,0.7299270072992701,686
hard_mask_gated_fusion,2024,text,0.4110787172011662,0.5765199161425576,686
hard_mask_gated_fusion,2024,audio,0.7842565597667639,0.7299270072992701,686
hard_mask_gated_fusion,2024,vision,0.7842565597667639,0.7299270072992701,686
hard_mask_gated_fusion,42,none,0.7623906705539358,0.7314662273476112,686
hard_mask_gated_fusion,42,text,0.4067055393586006,0.5755995828988529,686
hard_mask_gated_fusion,42,audio,0.7623906705539358,0.7314662273476112,686
hard_mask_gated_fusion,42,vision,0.7623906705539358,0.7314662273476112,686
hard_mask_gated_fusion,7,none,0.7448979591836735,0.72,686
hard_mask_gated_fusion,7,text,0.40233236151603496,0.5738045738045738,686
hard_mask_gated_fusion,7,audio,0.7448979591836735,0.72,686
hard_mask_gated_fusion,7,vision,0.7448979591836735,0.72,686
hard_mask_gated_fusion,99,none,0.782798833819242,0.7408695652173913,686
hard_mask_gated_fusion,99,text,0.40816326530612246,0.5753138075313807,686
hard_mask_gated_fusion,99,audio,0.782798833819242,0.7408695652173913,686
hard_mask_gated_fusion,99,vision,0.7842565597667639,0.7421602787456446,686
imputation_baseline_post2023,123,none,0.7740524781341108,0.7350427350427351,686
imputation_baseline_post2023,123,text,0.41253644314868804,0.577124868835257,686
imputation_baseline_post2023,123,audio,0.7755102040816326,0.7353951890034365,686
imputation_baseline_post2023,123,vision,0.7711370262390671,0.7325383304940375,686
imputation_baseline_post2023,2024,none,0.7725947521865889,0.7253521126760564,686
imputation_baseline_post2023,2024,text,0.5962099125364432,0.0,686
imputation_baseline_post2023,2024,audio,0.7740524781341108,0.7285464098073555,686
imputation_baseline_post2023,2024,vision,0.7725947521865889,0.7243816254416962,686
imputation_baseline_post2023,42,none,0.7842565597667639,0.7366548042704626,686
imputation_baseline_post2023,42,text,0.5962099125364432,0.0,686
imputation_baseline_post2023,42,audio,0.7857142857142857,0.738898756660746,686
imputation_baseline_post2023,42,vision,0.7842565597667639,0.7412587412587412,686
imputation_baseline_post2023,7,none,0.7667638483965015,0.7250859106529209,686
imputation_baseline_post2023,7,text,0.5962099125364432,0.007168458781362007,686
imputation_baseline_post2023,7,audio,0.7711370262390671,0.7279029462738301,686
imputation_baseline_post2023,7,vision,0.7682215743440233,0.7253886010362695,686
imputation_baseline_post2023,99,none,0.7565597667638484,0.7105719237435009,686
imputation_baseline_post2023,99,text,0.5918367346938775,0.02097902097902098,686
imputation_baseline_post2023,99,audio,0.7653061224489796,0.7180385288966725,686
imputation_baseline_post2023,99,vision,0.7580174927113703,0.7118055555555556,686
late_fusion,123,none,0.7842565597667639,0.7385159010600707,686
late_fusion,123,text,0.5962099125364432,0.0,686
late_fusion,123,audio,0.7842565597667639,0.7385159010600707,686
late_fusion,123,vision,0.7842565597667639,0.7385159010600707,686
late_fusion,2024,none,0.7857142857142857,0.7407407407407407,686
late_fusion,2024,text,0.5962099125364432,0.0,686
late_fusion,2024,audio,0.7857142857142857,0.7407407407407407,686
late_fusion,2024,vision,0.7857142857142857,0.7407407407407407,686
late_fusion,42,none,0.7682215743440233,0.7291311754684838,686
late_fusion,42,text,0.4037900874635568,0.5752855659397715,686
late_fusion,42,audio,0.7682215743440233,0.7291311754684838,686
late_fusion,42,vision,0.7682215743440233,0.7291311754684838,686
late_fusion,7,none,0.7682215743440233,0.7336683417085427,686
late_fusion,7,text,0.4037900874635568,0.5752855659397715,686
late_fusion,7,audio,0.7696793002915452,0.7348993288590604,686
late_fusion,7,vision,0.7682215743440233,0.7336683417085427,686
late_fusion,99,none,0.7842565597667639,0.7338129496402878,686
late_fusion,99,text,0.4037900874635568,0.5752855659397715,686
late_fusion,99,audio,0.7842565597667639,0.7338129496402878,686
late_fusion,99,vision,0.7842565597667639,0.7338129496402878,686
